Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2018,Glacier,MT,Passenger,0,1,1,4,5,20
February 28 2018,Missoula,MT,Passenger,1,0,1,58,59,1.69
February 28 2018,Cumberland,NC,Passenger,1,0,1,591,592,0.17
February 28 2018,Guilford,NC,Passenger,1,0,1,27,28,3.57
February 28 2018,Moore,NC,Passenger,0,1,1,207,208,0.48
February 28 2018,Santa Fe,NM,Passenger,0,1,1,38,39,2.56
February 28 2018,Clark,NV,Passenger,1,1,2,693,695,0.29
February 28 2018,Washoe,NV,Passenger,1,0,1,114,115,0.87
February 28 2018,Jefferson,NY,Passenger,1,0,1,254,255,0.39
February 28 2018,Nassau,NY,Passenger,1,0,1,33,34,2.94
February 28 2018,Saratoga,NY,Passenger,0,1,1,66,67,1.49
February 28 2018,Garfield,OK,Passenger,1,0,1,21,22,4.55
February 28 2018,Oklahoma,OK,Passenger,0,1,1,123,124,0.81
February 28 2018,Deschutes,OR,Passenger,1,0,1,159,160,0.62
February 28 2018,Lane,OR,Passenger,0,1,1,186,187,0.53
February 28 2018,Marion,OR,Passenger,1,0,1,122,123,0.81
February 28 2018,Multnomah,OR,Passenger,3,4,7,820,827,0.85
February 28 2018,Allegheny,PA,Passenger,1,0,1,74,75,1.33
February 28 2018,Montgomery,PA,Passenger,1,0,1,27,28,3.57
February 28 2018,Northampton,PA,Passenger,0,1,1,64,65,1.54
February 28 2018,Hamilton,TN,Passenger,1,0,1,19,20,5
February 28 2018,Montgomery,TN,Passenger,1,0,1,250,251,0.4
February 28 2018,Shelby,TN,Passenger,0,1,1,113,114,0.88
February 28 2018,Bexar,TX,Passenger,2,2,4,772,776,0.52
February 28 2018,Dallas,TX,Passenger,0,1,1,170,171,0.58
February 28 2018,El Paso,TX,Passenger,1,0,1,542,543,0.18
February 28 2018,Nueces,TX,Passenger,1,1,2,103,105,1.9
February 28 2018,Tarrant,TX,Passenger,1,0,1,212,213,0.47
February 28 2018,Travis,TX,Passenger,0,1,1,176,177,0.56
February 28 2018,Utah,UT,Passenger,0,1,1,132,133,0.75
February 28 2018,Alexandria City,VA,Passenger,2,0,2,167,169,1.18
February 28 2018,Arlington,VA,Passenger,1,2,3,166,169,1.78
February 28 2018,Fairfax,VA,Passenger,0,3,3,832,835,0.36
February 28 2018,Fairfax City,VA,Passenger,1,0,1,9,10,10
February 28 2018,Manassas City,VA,Passenger,0,1,1,9,10,10
February 28 2018,Norfolk City,VA,Passenger,2,1,3,338,341,0.88
February 28 2018,Prince George,VA,Passenger,0,1,1,78,79,1.27
February 28 2018,Prince William,VA,Passenger,0,4,4,258,262,1.53
